Rating,Review
4.2,thank you team realme realme company alsoit is a very good machine in less money it is also very easy to use it is a very good machine in terms of design and good clothes are cleaned by other washing machines thanks real me provided us very good features in less money
5.0,awesome product from realme great work and thanq flipkart it is very comfortableit is better than other washing machine
5.0,easy to usecleaning of clothes to goodrealme representative explained things in easy wayon the day of delivery itselfsize of product is also gooddurability is good tooas product is of hard plasticso no issue of rust which i face with my previous machinethis washing machine have all functions i expectedoverall happy with realme techlife recommended to go for it
5.0,pros good designlooks primium works very good silent motoreasy to usebuzzer featuresconslow quality plasticthin plastic bodybut overall ok according to pricehappy
4.0,here are the detailed and must know facts about this productpros low price in this rangelooking good and value of moneybody of washing is overall good but not fanstacticdryer is fantastic in terms of workingcons spin box dryer is too small in 7kg no beep sound after wash program completedhandle is too small no wheels optionone more realme support is outstanding they help me about my consern regarding producti suggest you if you are family of 23 then go with 7kg optio
4.0,it is very amazing washing machine and easy to use it is affordable i prefer to all must buy this washing machine
5.0,nice product value of money thank you flipkart team
5.0,nice product and good experience
5.0,this product is very bad and no one is accept to return in flipkart
1.0,best price and best working
4.2,value for money satisfied
5.0,very good product one week after my review this is very good
4.0,everything is great but spin tub is small you cant spin blanket overall product is great
4.0,worthless product lint collector break within a week dryer not working properly wastage money even replacement attempts failed
1.0,best qaulity
5.0,one of the best washing machine in this price segment 5 out of 5 star ⭐
5.0,good
5.0,very very very very very very very very very very very very very very very nice
5.0,vry good performence i really happy in this mc 101 out of 100
5.0,good product and excellent performancei recommend to purchase it this is value for money
4.2,good quality
5.0,amazing product thanks for flibkart
5.0,super 🥳🥳
5.0,1very thin plastic body you can see through it easily 2spin motor too much vibration3spin tub size too small and does not perfect for 8 kg washing machine4 very bad quality of power cord5 short length of power cord6 only 1 spin tub cover providedafter all my opinion is waste of money
2.0,i purchased this machine one month back but only within a month dry tub motor stopped working it is very unexpected thing for me to see my new product in this way i am very disappointed with this now i am thinking i need to think twice before investing in realme tecklife semi automatic washing machine
1.0,very nice product and delivered only 3 day amazing
5.0,delivery boy service not nice but washing machine is so good value for money
5.0,it is very small and cute i liked it a lot🥰
5.0,value for money
5.0,the product is awesome everything is good in this overall machinebut i dont know why its lash too much while using
4.2,go for it
